Teams,Group,Previous appearance,Previous titles,Previous finals,Previous Semi-finals,Current Rank
India,A,12,2,3,7,1
Pakistan,A,12,1,2,6,2
Australia,A,12,5,7,8,3
South Africa,A,8,0,0,4,4
England,A,12,1,4,6,5
New Zealand,A,12,0,2,8,6
Sri Lanka,A,12,1,4,4,7
Bangladesh,A,6,0,0,0,8
Afghanistan,A,2,0,0,0,9
Netherlands,A,4,0,0,0,10
