Match Date,Team..1,Team..2,Winner,Margin,Ground
11-Feb-22,India,West Indies,India,96 runs,Ahmedabad
23-Feb-22,Bangladesh,Afghanistan,Bangladesh,4 wickets,Chattogram
25-Feb-22,Bangladesh,Afghanistan,Bangladesh,88 runs,Chattogram
28-Feb-22,Bangladesh,Afghanistan,Afghanistan,7 wickets,Chattogram
05-Mar-22,U.A.E.,Oman,Oman,12 runs,ICCA Dubai
06-Mar-22,Namibia,Oman,Namibia,110 runs,ICCA Dubai
08-Mar-22,U.A.E.,Namibia,U.A.E.,3 wickets,ICCA Dubai
09-Mar-22,U.A.E.,Oman,Oman,8 runs,ICCA Dubai
11-Mar-22,Namibia,Oman,Oman,7 wickets,Sharjah
12-Mar-22,U.A.E.,Namibia,U.A.E.,43 runs,Sharjah
14-Mar-22,Namibia,Oman,Namibia,5 wickets,Dubai (DSC)
15-Mar-22,U.A.E.,P.N.G.,U.A.E.,7 wickets,Sharjah
16-Mar-22,Nepal,P.N.G.,Nepal,2 wickets,Sharjah
18-Mar-22,U.A.E.,Nepal,U.A.E.,48 runs,Dubai (DSC)
18-Mar-22,South Africa,Bangladesh,Bangladesh,38 runs,Centurion
19-Mar-22,U.A.E.,P.N.G.,P.N.G.,6 wickets,Dubai (DSC)
20-Mar-22,South Africa,Bangladesh,South Africa,7 wickets,Johannesburg
21-Mar-22,U.A.E.,Nepal,U.A.E.,99 runs,Dubai (DSC)
22-Mar-22,Nepal,P.N.G.,Nepal,7 wickets,Dubai (DSC)
23-Mar-22,South Africa,Bangladesh,Bangladesh,9 wickets,Centurion
25-Mar-22,Nepal,P.N.G.,P.N.G.,6 runs,Kirtipur
26-Mar-22,Nepal,P.N.G.,P.N.G.,3 wickets,Kirtipur
29-Mar-22,New Zealand,Netherlands,New Zealand,7 wickets,Mount Maunganui
29-Mar-22,Pakistan,Australia,Australia,88 runs,Lahore
31-Mar-22,Pakistan,Australia,Pakistan,6 wickets,Lahore
02-Apr-22,New Zealand,Netherlands,New Zealand,118 runs,Hamilton
02-Apr-22,Pakistan,Australia,Pakistan,9 wickets,Lahore
04-Apr-22,New Zealand,Netherlands,New Zealand,115 runs,Hamilton
09-Apr-22,P.N.G.,Scotland,Scotland,162 runs,Dubai (DSC)
10-Apr-22,Oman,Scotland,Scotland,4 runs,Dubai (DSC)
12-Apr-22,Oman,P.N.G.,Oman,7 wickets,Dubai (DSC)
13-Apr-22,P.N.G.,Scotland,Scotland,123 runs,Dubai (DSC)
15-Apr-22,Oman,Scotland,Scotland,2 wickets,Dubai (DSC)
